,gvkey,year,mtbe,own
302,8852,1993,9.546891671,0.002159007
303,10507,1993,1.476629594,7.12E-05
304,1356,1993,1.737540923,0.000276942
305,11288,1993,6.515867876,0.000831819
306,3930,1993,5.272142857,0.000759493
307,11535,1993,4.261609296,0.024527254
308,8214,1993,-2.20598389,0.009383776
309,8972,1993,2.076411051,0.001432655
310,10860,1993,1.816891098,0.000189182
311,5250,1993,2.514246871,0.002971358
312,9459,1993,8.381387888,0.000131098
313,4393,1993,1.674856738,0.631324
314,3231,1993,1.401888094,0.000949596
315,9392,1993,1.911511782,0.000977325
316,8151,1993,1.576848621,0.003776038
317,9906,1993,1.819001469,0.000271103
318,5496,1993,1.9391245,0.002712393
319,4603,1993,1.006348219,0.025223712
320,11465,1993,2.94843568,0.002378333
321,8818,1993,1.334011568,0.00011105
322,3278,1993,12.58585866,0.011220275
323,5492,1993,1.344655218,0.006627152
324,7733,1993,1.811277326,0.002793759
325,7171,1993,4.366523586,0.001214309
326,6403,1993,1.54589203,0.00113414
327,3310,1993,4.049556946,0.041205894
328,4839,1993,2.066617439,0
329,10969,1993,1.255510661,0.00110768
330,4058,1993,3.991545134,0.001601603
331,4189,1993,1.467306138,0.001439991
332,6765,1993,1.838836348,8.79E-05
333,2797,1993,2.458577716,0.25581852
334,4818,1993,3.203926122,0.001166581
335,3980,1993,4.018512076,0.00645772
336,8657,1993,2.043530562,0.000241254
337,10163,1993,2.742873877,0.005979073
338,2085,1993,3.26900004,0.001866793
339,10443,1993,3.447140529,0.00082667
340,4710,1993,1.550372903,0.000420984
341,3422,1993,2.027165278,0.36675832
342,11056,1993,1.566474991,0.011392827
343,5301,1993,1.013712054,0.000296659
344,11040,1993,2.428419129,7.40E-05
345,6781,1993,0.933840395,0.15359539
346,7155,1993,1.232961031,0.03329137
347,9195,1993,2.349797797,0.000530293
348,6375,1993,7.549001984,0.000414456
349,9280,1993,4.929229966,0.000868762
350,11115,1993,2.029786203,0.00577073
351,3491,1993,3.567868748,0.055206124
352,5321,1993,1.245790329,0.00253486
353,3520,1993,3.247580513,0.011591346
354,3527,1993,1.564168714,0.000825749
355,2771,1993,2.308461589,0.018514952
356,3107,1993,1.606312789,0.003064323
357,3502,1993,3.797897438,0.00647733
358,3570,1993,4.222691768,0.008119712
359,8537,1993,1.219140455,0.000232559
360,9299,1993,2.068602609,0.001295265
361,1919,1993,1.396092886,0.001743932
362,8488,1993,4.729707604,0.000685242
363,8873,1993,2.202167318,0.00362725
364,10109,1993,3.075249692,0.000921794
365,5606,1993,2.186111459,0.000149993
366,5574,1993,1.275596157,0.002849767
367,2086,1993,2.116178571,0.000969607
368,3643,1993,1.418721873,0.033993814
369,4093,1993,2.001254141,0.000550554
370,1075,1993,1.185881782,0.004590647
371,7938,1993,1.954204969,0.025600828
372,1209,1993,2.104472144,0.000415614
373,7620,1993,1.466290342,0.001383726
374,28701,1993,9.094310266,0.010541842
375,1380,1993,1.379369805,0.12992519
376,1230,1993,1.129607152,0.002892215
377,3786,1993,1.881911455,0.15270905
378,10946,1993,-1.79082468,0.002836673
379,3799,1993,1.597853065,0.001187782
380,1661,1993,2.443125995,0.039039917
381,1773,1993,2.858182445,0.039642617
382,3878,1993,1.249605949,0.004998019
383,3917,1993,1.976827854,0.18685092
384,3936,1993,2.441247748,0.0316156
385,3937,1993,2.615329161,0.011530188
386,2435,1993,4.567655917,0.068924561
387,3705,1993,5.476864681,0.002940492
388,2729,1993,2.667821678,0.002732642
389,4016,1993,4.777299692,0.20552579
390,4066,1993,3.814435361,0.003098407
391,4078,1993,3.517682104,0.11490852
392,4100,1993,2.034641317,0.014490535
393,4108,1993,2.327507819,0.002439781
394,4132,1993,1.205768948,0.00169456
395,4204,1993,2.307830243,0.009181106
396,5151,1993,2.171571383,0.045965765
397,5354,1993,2.10174595,0.027082251
398,13003,1993,1.117551677,0.008420534
399,5581,1993,1.645929573,0.00688488
400,5764,1993,3.033915603,0.002004127
401,6807,1993,2.26245126,0.013244377
402,6819,1993,2.219184103,0.001902312
403,7085,1993,2.829946508,0.021914663
404,7099,1993,3.170484052,0.011726662
405,6873,1993,-1.900425089,0.31562912
406,6856,1993,2.069942063,0.046067748
407,7762,1993,1.500122709,0.15727581
408,4640,1993,2.653165877,0.001771835
409,8030,1993,5.115315679,0.009498538
410,8068,1993,1.535693467,0.001921902
411,8093,1993,2.035464746,0.012334812
412,8219,1993,2.248510588,0.030824384
413,4674,1993,1.561710969,0.002481913
414,8304,1993,3.581016821,0.001726632
415,12796,1993,1.403982123,0.04386504
416,4680,1993,1.533505652,0.000659414
417,8468,1993,1.627334135,0.000397778
418,8475,1993,3.072767403,0.034011617
419,17007,1993,0.842050165,0.002695479
420,4703,1993,2.722168668,0.008129842
421,9225,1993,6.056328968,0.40274268
422,4736,1993,1.508167391,0.02714867
423,4737,1993,1.606148884,0.005867895
424,9667,1993,3.062503206,0.005835026
425,4739,1993,1.357496217,0.000791926
426,10093,1993,1.392114154,0.024097322
427,4807,1993,2.084200748,0.021645259
428,10277,1993,2.545788648,0.000199877
429,4847,1993,1.763201498,0.008071533
430,4885,1993,5.612852905,0.1974563
431,16878,1993,1.031023854,0.069810681
432,4936,1993,2.62971672,0.023756789
433,11506,1993,1.547137084,0.003181608
434,11559,1993,2.25634141,0.000850178
435,3607,1993,4.701845031,0.015376904
436,10540,1993,2.296166852,0.002093202
437,7824,1993,1.550194953,0.000206626
438,5116,1993,11.53395766,0.073776968
439,4040,1993,2.602055948,0.001106221
440,8007,1993,2.20727278,0.001755619
441,7974,1993,1.976506517,0.000501238
