date,mkt.rf,smb,hml,rf
20140515,-0.009,0.0033,-0.0027,0
20140516,0.0036,0.0026,-0.004,0
20140519,0.005,0.0063,0,0
20140520,-0.0078,-0.0081,0.0023,0
20140521,0.0081,-0.0026,5.00E-04,0
20140522,0.0036,0.0063,-0.0027,0
20140523,0.0049,0.0062,-0.0024,0
20140527,0.0069,0.007,-0.0019,0
20140528,-0.0011,-0.0033,0.0027,0
20140529,0.0054,-0.002,-0.0012,0
20140530,6.00E-04,-0.0068,0.0028,0
20140602,6.00E-04,-0.0069,0.004,0
20140603,-5.00E-04,-0.0027,0.0018,0
20140604,0.0028,0.0023,-9.00E-04,0
20140605,0.0077,0.0129,-0.0018,0
20140606,0.0054,0.0048,0,0
20140609,0.0022,0.0101,-0.0031,0
20140610,-3.00E-04,-0.0018,-4.00E-04,0
20140611,-0.0034,-0.0013,-0.0028,0
20140612,-0.0068,0.001,0.0017,0
20140613,0.0031,-7.00E-04,-0.0019,0
20140616,0.0013,0.0046,-0.0067,0
20140617,0.0034,0.0055,0.0045,0
20140618,0.0075,-0.0027,-9.00E-04,0
20140619,0.0012,-0.0016,-4.00E-04,0
20140620,0.0018,0.0018,4.00E-04,0
20140623,-1.00E-04,-0.0024,8.00E-04,0
20140624,-0.0072,-0.0033,-0.0021,0
20140625,0.0053,0.0036,7.00E-04,0
20140626,-0.0011,-8.00E-04,5.00E-04,0
20140627,0.0026,0.0048,-0.0022,0
20140630,7.00E-04,0.0026,0.0019,0
20140701,0.0074,0.0048,-0.0037,0
20140702,-3.00E-04,-0.0045,-0.0021,0
20140703,0.0059,0.0022,8.00E-04,0
20140707,-0.0062,-0.0127,0.0038,0
20140708,-0.0082,-0.0066,0.0071,0
20140709,0.0046,-0.0038,-0.0011,0
20140710,-0.0049,-0.0059,2.00E-04,0
20140711,0.0012,-0.0021,-0.0039,0
20140714,0.0046,0,-0.0013,0
20140715,-0.0032,-0.0094,0.0098,0
20140716,0.0032,-0.006,0.0032,0
20140717,-0.0121,-0.0039,0.0018,0
20140718,0.0112,0.0049,-0.0047,0
20140721,-0.0025,-0.0024,5.00E-04,0
20140722,0.0053,0.0025,-0.0032,0
20140723,0.0019,0.0013,-0.0074,0
20140724,5.00E-04,-0.0027,4.00E-04,0
20140725,-0.0053,-0.0036,0.0016,0
20140728,-8.00E-04,-0.0047,0.0028,0
20140729,-0.0033,0.007,-0.0067,0
20140730,0.0012,0.0043,-0.0029,0
20140731,-0.0203,-0.002,0.0046,0
20140801,-0.0032,-0.0018,-7.00E-04,0
20140804,0.0074,2.00E-04,-0.0022,0
20140805,-0.0084,0.0077,-0.0019,0
20140806,2.00E-04,0.0037,0.0018,0
20140807,-0.0052,-3.00E-04,-0.0014,0
20140808,0.0112,-0.0021,-0.0018,0
20140811,0.004,0.006,-0.0029,0
20140812,-0.0023,-0.006,0.0025,0
20140813,0.0069,-8.00E-04,-0.0024,0
20140814,0.0044,-0.0023,4.00E-04,0
20140815,0,-0.0015,-0.0015,0
20140818,0.0093,0.006,-0.0019,0
20140819,0.0049,-0.0013,-0.001,0
20140820,0.0019,-0.0064,0.0027,0
20140821,0.0028,-0.0014,0.0082,0
20140822,-0.001,0.003,-0.0039,0
20140825,0.005,-0.0024,4.00E-04,0
20140826,0.0019,0.007,-0.0033,0
20140827,0,-0.0023,0.0015,0
20140828,-0.0019,-0.0042,9.00E-04,0
20140829,0.0039,0.0027,9.00E-04,0
20140902,6.00E-04,0.0046,-9.00E-04,0
20140903,-0.0014,-0.0054,0.0023,0
20140904,-0.0017,-0.0014,-0.0015,0
20140905,0.0045,-0.0026,-6.00E-04,0
20140908,-0.0022,0.0052,-0.0044,0
20140909,-0.0072,-0.0043,-2.00E-04,0
20140910,0.0045,0.002,-0.0039,0
20140911,0.0019,0.0049,0.002,0
20140912,-0.0055,-0.0023,0.0014,0
20140915,-0.0028,-0.0106,0.0066,0
20140916,0.007,-0.0039,-0.0013,0
20140917,0.0017,8.00E-04,-0.002,0
20140918,0.005,1.00E-04,3.00E-04,0
20140919,-0.0018,-0.0096,5.00E-04,0
20140922,-0.0097,-0.0057,0.0013,0
20140923,-0.0062,-0.0032,-5.00E-04,0
20140924,0.0081,8.00E-04,-0.0092,0
20140925,-0.0162,8.00E-04,0.0015,0
20140926,0.0085,-4.00E-04,-0.0027,0
20140929,-0.0022,0.0017,-0.0044,0
20140930,-0.004,-0.01,0.0014,0
20141001,-0.0139,-0.0015,0.0033,0
20141002,0.0015,0.0102,-0.0038,0
20141003,0.0108,-0.0039,-0.0041,0
20141006,-0.0026,-0.0078,0.0039,0
20141007,-0.0156,-0.0012,0.0012,0
20141008,0.017,2.00E-04,-6.00E-04,0
20141009,-0.0217,-0.0042,-0.004,0
20141010,-0.013,-0.0016,0.0056,0
20141013,-0.0159,0.0132,0.005,0
20141014,0.0028,0.0085,-0.0012,0
20141015,-0.0053,0.018,-0.0131,0
20141016,0.0023,0.0108,0.0017,0
20141017,0.0114,-0.0156,-0.001,0
20141020,0.0094,0.002,-0.0033,0
20141021,0.0198,-0.0041,2.00E-04,0
20141022,-0.0085,-0.0057,0.0021,0
20141023,0.0129,0.0052,-0.0046,0
20141024,0.0066,-0.0046,-0.0011,0
20141027,-0.0017,0.0011,-0.0026,0
20141028,0.0137,0.0158,-2.00E-04,0
20141029,-0.0018,-2.00E-04,0.0044,0
20141030,0.006,0.0027,-0.0047,0
20141031,0.0123,0.0028,0.0019,0
20141103,-1.00E-04,-0.0026,-6.00E-04,0
20141104,-0.0035,-3.00E-04,-0.0011,0
20141105,0.0048,-0.0053,0.0086,0
20141106,0.0049,9.00E-04,-0.0048,0
20141107,9.00E-04,1.00E-04,0.0044,0
20141110,0.0033,0.0019,-0.005,0
20141111,0.001,2.00E-04,-0.0029,0
20141112,7.00E-04,0.0077,-0.0028,0
20141113,-3.00E-04,-0.0091,-0.0033,0
20141114,6.00E-04,-0.0014,0.0014,0
20141117,-5.00E-04,-0.0098,0.0027,0
20141118,0.0051,4.00E-04,-0.0036,0
20141119,-0.0021,-0.0093,-6.00E-04,0
20141120,0.0031,0.0087,-2.00E-04,0
20141121,0.0048,-0.0039,-8.00E-04,0
20141124,0.004,0.0094,-0.0057,0
20141125,-8.00E-04,6.00E-04,-4.00E-04,0
20141126,0.003,9.00E-04,-0.0046,0
20141128,-0.0035,-0.0093,-0.0102,0
20141201,-0.009,-0.0096,0.0061,0
20141202,0.0065,0.0041,5.00E-04,0
20141203,0.0046,0.0045,0.003,0
20141204,-0.0017,-0.0032,8.00E-04,0
20141205,0.0025,0.0057,0.0025,0
20141208,-0.0082,-0.0058,0.0027,0
20141209,0.0013,0.0171,-0.0029,0
20141210,-0.0172,-0.0061,-0.001,0
20141211,0.0049,-8.00E-04,-0.002,0
20141212,-0.0155,0.0048,-0.0058,0
20141215,-0.0068,-0.0026,0.0011,0
20141216,-0.008,0.0063,0.006,0
20141217,0.0215,0.0085,-0.001,0
20141218,0.0236,-0.0088,-0.0021,0
20141219,0.0043,-0.0022,0.0019,0
20141222,0.0037,0.0019,-4.00E-04,0
20141223,0.0021,-0.0026,0.0106,0
20141224,7.00E-04,0.0036,-0.0017,0
20141226,0.0039,0.0037,-0.0032,0
20141229,0.0013,0.0016,0.0057,0
20141230,-0.0048,6.00E-04,0.0035,0
20141231,-0.0093,0.0049,-0.0039,0
20150102,-0.0011,-0.0059,9.00E-04,0
20150105,-0.0184,0.0033,-0.0063,0
20150106,-0.0104,-0.0078,-0.0026,0
20150107,0.0119,0.0017,-0.0065,0
20150108,0.0181,-0.0011,-0.0027,0
20150109,-0.0085,2.00E-04,-0.005,0
20150112,-0.0079,0.0037,-0.0037,0
20150113,-0.0019,0.0028,3.00E-04,0
20150114,-0.006,0.0029,-0.005,0
20150115,-0.0108,-0.0095,0.0063,0
20150116,0.0136,0.0047,-0.0014,0
20150120,0.0011,-0.0067,-0.0055,0
20150121,0.0042,-0.0095,0.0055,0
20150122,0.0158,0.0046,0.0041,0
