PERMNO	date	PRC	RET
93436	20180813	356.41000	0.002588
93436	20180814	347.64001	-0.024606
93436	20180815	338.69000	-0.025745
93436	20180816	335.45001	-0.009566
93436	20180817	305.50000	-0.089283
93436	20180820	308.44000	0.009624
93436	20180821	321.89999	0.043639
93436	20180822	321.64001	-0.000808
93436	20180823	320.10001	-0.004788
93436	20180824	322.82001	0.008497
93436	20180827	319.26999	-0.010997
93436	20180828	311.85999	-0.023209
93436	20180829	305.01001	-0.021965
93436	20180830	303.14999	-0.006098
93436	20180831	301.66000	-0.004915
93436	20180904	288.95001	-0.042133
93436	20180905	280.73999	-0.028413
93436	20180906	280.95001	0.000748
93436	20180907	263.23999	-0.063036
93436	20180910	285.50000	0.084562
93436	20180911	279.44000	-0.021226
93436	20180912	290.54001	0.039722
93436	20180913	289.45999	-0.003717
93436	20180914	295.20001	0.019830
93436	20180917	294.84000	-0.001220
93436	20180918	284.95999	-0.033510
93436	20180919	299.01999	0.049340
93436	20180920	298.32999	-0.002308
93436	20180921	299.10001	0.002581
93436	20180924	299.67999	0.001939
93436	20180925	300.98999	0.004371
93436	20180926	309.57999	0.028539
93436	20180927	307.51999	-0.006654
93436	20180928	264.76999	-0.139015
93436	20181001	310.70001	0.173471
93436	20181002	301.01999	-0.031156
93436	20181003	294.79999	-0.020663
93436	20181004	281.82999	-0.043996
93436	20181005	261.95001	-0.070539
93436	20181008	250.56000	-0.043482
93436	20181009	262.79999	0.048851
93436	20181010	256.88000	-0.022527
93436	20181011	252.23000	-0.018102
93436	20181012	258.78000	0.025968
93436	20181015	259.59000	0.003130
93436	20181016	276.59000	0.065488
93436	20181017	271.78000	-0.017390
93436	20181018	263.91000	-0.028957
93436	20181019	260.00000	-0.014816
93436	20181022	260.95001	0.003654
93436	20181023	294.14001	0.127189
93436	20181024	288.50000	-0.019175
93436	20181025	314.85999	0.091369
93436	20181026	330.89999	0.050943
93436	20181029	334.85001	0.011937
93436	20181030	329.89999	-0.014783
93436	20181031	337.32001	0.022492
93436	20181101	344.28000	0.020633
93436	20181102	346.41000	0.006187
93436	20181105	341.39999	-0.014463
93436	20181106	341.06000	-0.000996
93436	20181107	348.16000	0.020817
93436	20181108	351.39999	0.009306
93436	20181109	350.51001	-0.002533
93436	20181112	331.28000	-0.054863
93436	20181113	338.73001	0.022489
93436	20181114	344.00000	0.015558
93436	20181115	348.44000	0.012907
93436	20181116	354.31000	0.016847
93436	20181119	353.47000	-0.002371
93436	20181120	347.48999	-0.016918
93436	20181121	338.19000	-0.026763
93436	20181123	325.82999	-0.036548
93436	20181126	346.00000	0.061903
93436	20181127	343.92001	-0.006012
93436	20181128	347.87000	0.011485
93436	20181129	341.17001	-0.019260
93436	20181130	350.48001	0.027288
93436	20181203	358.48999	0.022854
93436	20181204	359.70001	0.003375
93436	20181206	363.06000	0.009341
93436	20181207	357.96500	-0.014033
93436	20181210	365.14999	0.020072
93436	20181211	366.76001	0.004409
93436	20181212	366.60001	-0.000436
93436	20181213	376.79001	0.027796
93436	20181214	365.70999	-0.029406
93436	20181217	348.42001	-0.047278
93436	20181218	337.03000	-0.032690
93436	20181219	332.97000	-0.012046
93436	20181220	315.38000	-0.052828
93436	20181221	319.76999	0.013920
93436	20181224	295.39001	-0.076242
93436	20181226	326.09000	0.103930
93436	20181227	316.13000	-0.030544
93436	20181228	333.87000	0.056116
93436	20181231	332.79999	-0.003205
