yyyy,public,all_stock,horz,domestic,relsize,bidder_mtb,bidder_lev,bidder_tang,bidder_cash,bidder_rd,rate,lbidder_size,med_mtb_sect
2013,1,1,1,1,0.249983,1.7059066,0,0.91956669,0.208088,0,0.038900003,6.3767271,1.6240911
2014,0,0,0,1,0.24904214,0.95152819,0.22787948,0.98901963,0.007497177,0,0.0425,5.5645204,0.99745923
2014,1,1,1,1,0.55248106,1.1034482,0.45032126,1.1533965,0.000585757,0,0.040799998,7.8785343,0.99745923
2014,1,1,1,0,0.10455919,1.4330037,0.076408163,1.0247529,0.037165377,0,0.0392,5.9839363,0.99745923
2014,0,1,1,1,0.14051105,1.5527362,0.50199872,1.0592629,0.007357124,0,0.042399999,7.2779384,0.99745923
2014,0,0,1,1,1.5443788,1.4991622,0.14501899,0.60454649,0.012729842,0.004433454,0.0416,7.4324837,0.99745923
2014,1,1,1,1,0.55620688,1.9264053,0.075125635,1.6741102,0.16408618,0,0.0392,3.3672957,0.99745923
2014,1,1,0,1,0.3978467,1.3976628,0.3004294,1.1627973,0.079182923,0,0.040799998,9.1518631,0.99745923
1998,1,0,0,1,0.24210541,2.6897683,0.056533534,1.4629676,0.088712335,0.0074211,0.062199999,8.2057648,1.9726251
2007,1,0,0,1,0.51391834,2.8985698,0.094054565,1.1382482,0.016129198,0.000497631,0.053000003,9.1121759,2.3113286
2014,0,0,1,1,0.033561643,2.7549353,0.42614895,0.6432659,0.090630613,0,0.040799998,7.9793391,2.6357355
2014,1,1,0,1,0.45574859,1.9465067,0.31527543,1.2199682,0.013018179,0,0.044499997,8.4385824,2.6357355
1994,0,1,0,1,0.034966141,1.538648,0.39980933,0.086706594,0.042913463,0,0.081099994,6.0935698,0.86248887
1995,0,1,0,1,0.039744057,1.4500269,0.30087259,0.14859341,0.021858977,0,0.072999999,6.3044486,0.99814785
1997,0,0,0,1,0.36079547,1.3422364,0.41168439,0.026385348,0.080580674,0,0.073100001,5.8636312,1.2333775
1997,1,1,1,1,0.47492245,1.1351464,0.44110224,0.14882001,0.015016766,0,0.071400002,6.8741984,1.2333775
1997,1,0,1,1,0.85040343,1.3422364,0.41168439,0.026385348,0.080580674,0,0.066100001,6.5424719,1.2333775
1998,1,0,0,1,0.068434544,1.9174645,0.064361095,0.20572335,0.031748824,0,0.066700004,7.3011479,1.1635022
1998,0,0,0,1,0.6809808,1.4665637,0.009613176,0.1143155,0.17611197,0,0.0669,4.121891,1.1635022
2000,1,0,0,1,0.1683706,0.92700201,0.38778242,0.009799173,0.003829063,0,0.076799996,5.7462034,0.87481833
2000,1,0,1,1,0.052150536,1.074239,0.029205713,0.42756662,0.014938796,0.020040873,0.076399997,5.2257466,0.87481833
2000,1,0,1,1,1.5690615,1.0307497,0.38990897,0.016767696,0.057428218,0,0.076799996,6.865891,0.87481833
2000,0,1,0,1,1.2219177,0.85618371,0.48273072,0.006789503,0.013605428,0,0.075500004,4.9836068,0.87481833
2000,1,0,0,1,0.16896969,1.074239,0.029205713,0.42756662,0.014938796,0.020040873,0.076200001,5.1059456,0.87481833
2001,1,0,1,1,0.96753669,1.0706365,0.39052624,0.028666837,0.02691517,0,0.069699995,7.3569183,1.162513
2001,1,0,0,1,1.0698267,1.1751878,0.23475005,0.006789503,0.063740201,0,0.071800001,7.3877091,1.162513
2002,0,0,0,1,0.10215054,1.1033882,0.38399518,0.009453993,0.006734973,0,0.067500003,6.8351846,1.1626728
2002,0,0,0,1,0.27027026,1.1902707,0.018082185,0.074758083,0.067184672,0,0.061700001,4.3040652,1.1626728
2002,1,0,1,1,1.0276412,1.0682529,0.39710879,0.032006785,0.041875273,0,0.065099999,6.4002576,1.1626728
2004,0,0,0,1,0.069444448,1.1572108,0.015071369,0.068482585,0.11994666,0,0.054699998,5.6629605,1.7435095
2004,0,0,1,1,0.21201414,1.1674788,0.37576407,0.015960978,0.03055633,0,0.058200002,5.6454468,1.7435095
2005,0,0,0,1,0.1146789,1.3777686,0.013156748,0.059260391,0.20833302,0,0.0513,6.0776424,1.6621096
2008,0,1,1,1,0.85009861,1.4530928,0.008075617,0.081059657,0.27760342,0,0.0557,6.921658,0.8575145
2009,1,0,0,1,1.3071381,0.99819541,0.40770218,0.03811359,0.21473348,0,0.055399999,7.7731738,1.1352212
